codigo,nome,cnpj_cpf,conta,servico_principal,servicos_adicionais,regime,mensalidade,faturamento_anual,data_inicio,responsavel,nps
CLI-00813,Cliente 813,00.100.008/0001-00,Mdias,BPO Financeiro,Legalização,Simples Nacional,9111,7490693,2024-04-21,Carlos Souza,3
CLI-00814,Cliente 814,00.100.008/0001-00,Papaya,Certificado Digital,BPO Financeiro,MEI,8344,6291760,2022-10-04,João Silva,6
CLI-00815,Cliente 815,00.100.008/0001-00,Zov,BPO Financeiro,N/A,Lucro Presumido,9262,4291757,2022-08-01,Maria Santos,0
CLI-00816,Cliente 816,00.100.008/0001-00,Mdias,Certificado Digital,N/A,N/A,4976,2368069,2024-02-13,João Silva,1
CLI-00817,Cliente 817,00.100.008/0001-00,Zov,Legalização,N/A,Lucro Presumido,6589,2461650,2022-10-16,Maria Santos,9
CLI-00818,Cliente 818,00.100.008/0001-00,Papaya,Legalização,Certificado Digital,MEI,4985,963204,2024-09-06,Carlos Souza,7
CLI-00819,Cliente 819,00.100.008/0001-00,Papaya,Certificado Digital,N/A,Simples Nacional,461,2273705,2022-07-06,Ana Silva,3
CLI-00820,Cliente 820,00.100.008/0001-00,Zov,BPO Financeiro,Certificado Digital,N/A,3689,1955577,2023-03-23,João Silva,2
CLI-00821,Cliente 821,00.100.008/0001-00,Zov,Certificado Digital,Contabilidade,N/A,8307,6703741,2023-05-11,Carlos Souza,10
CLI-00822,Cliente 822,00.100.008/0001-00,Zov,Legalização,N/A,Simples Nacional,3483,5728651,2023-10-11,Maria Santos,9
CLI-00823,Cliente 823,00.100.008/0001-00,Zov,Contabilidade,N/A,MEI,8415,6370131,2023-02-21,João Silva,3
CLI-00824,Cliente 824,00.100.008/0001-00,Zov,Certificado Digital,N/A,N/A,7201,1148850,2023-03-20,João Silva,4
CLI-00825,Cliente 825,00.100.008/0001-00,Mdias,Legalização,Certificado Digital,N/A,1518,7005096,2024-05-08,Maria Santos,2
CLI-00826,Cliente 826,00.100.008/0001-00,Papaya,BPO Financeiro,BPO RH,Simples Nacional,573,7327060,2023-12-25,Carlos Souza,5
CLI-00827,Cliente 827,00.100.008/0001-00,Mdias,Legalização,Certificado Digital,MEI,7761,4469112,2024-12-19,Maria Santos,4
CLI-00828,Cliente 828,00.100.008/0001-00,Papaya,BPO RH,N/A,Lucro Real,1541,865603,2023-06-08,Carlos Souza,7
CLI-00829,Cliente 829,00.100.008/0001-00,Zov,Certificado Digital,N/A,MEI,5369,5923337,2022-02-16,Maria Santos,2
CLI-00830,Cliente 830,00.100.008/0001-00,Mdias,Contabilidade,BPO Financeiro,Lucro Presumido,5362,2143540,2022-04-09,João Silva,7
CLI-00831,Cliente 831,00.100.008/0001-00,Zov,BPO RH,N/A,MEI,5912,762007,2024-02-11,João Silva,5
CLI-00832,Cliente 832,00.100.008/0001-00,Zov,BPO RH,N/A,N/A,1250,880599,2024-07-03,João Silva,8
CLI-00833,Cliente 833,00.100.008/0001-00,Zov,BPO RH,Contabilidade,N/A,1791,3167462,2022-06-25,Ana Silva,7
CLI-00834,Cliente 834,00.100.008/0001-00,Mdias,Legalização,N/A,N/A,863,226385,2022-01-05,Maria Santos,1
CLI-00835,Cliente 835,00.100.008/0001-00,Mdias,Certificado Digital,Contabilidade,Lucro Presumido,7301,5951782,2023-05-17,João Silva,4
CLI-00836,Cliente 836,00.100.008/0001-00,Zov,Contabilidade,N/A,N/A,3914,4152304,2024-02-16,João Silva,9
CLI-00837,Cliente 837,00.100.008/0001-00,Papaya,Legalização,N/A,N/A,5642,4799753,2024-01-05,João Silva,8
CLI-00838,Cliente 838,00.100.008/0001-00,Papaya,BPO RH,Certificado Digital,MEI,8200,7436280,2023-04-28,Carlos Souza,4
CLI-00839,Cliente 839,00.100.008/0001-00,Papaya,Contabilidade,BPO Financeiro,MEI,2602,7197779,2024-11-16,Maria Santos,6
CLI-00840,Cliente 840,00.100.008/0001-00,Mdias,Contabilidade,Certificado Digital,Simples Nacional,6661,7979337,2022-10-21,Maria Santos,9
CLI-00841,Cliente 841,00.100.008/0001-00,Zov,BPO RH,N/A,MEI,2143,1038402,2022-08-22,João Silva,2
CLI-00842,Cliente 842,00.100.008/0001-00,Mdias,BPO Financeiro,BPO RH,Lucro Presumido,6117,1920845,2022-03-21,Maria Santos,2
CLI-00843,Cliente 843,00.100.008/0001-00,Papaya,BPO Financeiro,N/A,Lucro Presumido,5793,2156585,2023-11-12,Maria Santos,1
CLI-00844,Cliente 844,00.100.008/0001-00,Zov,BPO RH,N/A,Lucro Real,659,4757179,2023-01-04,João Silva,9
CLI-00845,Cliente 845,00.100.008/0001-00,Mdias,Certificado Digital,N/A,Lucro Presumido,8007,3015538,2022-04-10,Ana Silva,4
CLI-00846,Cliente 846,00.100.008/0001-00,Papaya,BPO Financeiro,N/A,MEI,1038,765745,2023-03-11,Maria Santos,7
CLI-00847,Cliente 847,00.100.008/0001-00,Zov,Certificado Digital,N/A,Lucro Presumido,4432,4194268,2022-10-09,João Silva,2
CLI-00848,Cliente 848,00.100.008/0001-00,Papaya,Legalização,N/A,Simples Nacional,5055,2549033,2023-12-05,João Silva,8
CLI-00849,Cliente 849,00.100.008/0001-00,Mdias,Legalização,N/A,Lucro Presumido,5368,7868732,2024-03-19,Ana Silva,3
CLI-00850,Cliente 850,00.100.008/0001-00,Papaya,BPO Financeiro,N/A,Lucro Real,2569,7415931,2023-03-22,Carlos Souza,9
CLI-00851,Cliente 851,00.100.008/0001-00,Zov,BPO RH,N/A,Simples Nacional,8215,1998323,2023-04-16,João Silva,7
CLI-00852,Cliente 852,00.100.008/0001-00,Mdias,BPO RH,N/A,Lucro Presumido,1108,5066953,2024-11-27,Maria Santos,5
CLI-00853,Cliente 853,00.100.008/0001-00,Zov,Legalização,N/A,Simples Nacional,6997,6513963,2024-02-13,João Silva,3
CLI-00854,Cliente 854,00.100.008/0001-00,Mdias,BPO RH,N/A,MEI,3963,731249,2024-02-02,Carlos Souza,10
CLI-00855,Cliente 855,00.100.008/0001-00,Mdias,Legalização,N/A,N/A,5210,6481904,2023-10-14,João Silva,3
CLI-00856,Cliente 856,00.100.008/0001-00,Papaya,Contabilidade,BPO RH,Lucro Real,6781,6260191,2024-05-24,João Silva,2
CLI-00857,Cliente 857,00.100.008/0001-00,Papaya,Certificado Digital,BPO Financeiro,N/A,1879,718368,2024-09-12,João Silva,9
CLI-00858,Cliente 858,00.100.008/0001-00,Zov,Contabilidade,N/A,N/A,7281,2861868,2023-10-14,João Silva,1
CLI-00859,Cliente 859,00.100.008/0001-00,Mdias,Legalização,N/A,MEI,9322,5596541,2024-08-01,João Silva,5
CLI-00860,Cliente 860,00.100.008/0001-00,Zov,Certificado Digital,N/A,N/A,6799,5785895,2022-04-12,Ana Silva,8
CLI-00861,Cliente 861,00.100.008/0001-00,Zov,Contabilidade,N/A,Simples Nacional,7944,3954283,2024-03-14,Maria Santos,7
CLI-00862,Cliente 862,00.100.008/0001-00,Papaya,Contabilidade,Legalização,Lucro Real,1351,2675122,2022-02-05,Carlos Souza,4
CLI-00863,Cliente 863,00.100.008/0001-00,Mdias,BPO RH,Certificado Digital,Simples Nacional,6106,401124,2023-09-13,Carlos Souza,3
CLI-00864,Cliente 864,00.100.008/0001-00,Mdias,Contabilidade,BPO Financeiro,MEI,5383,7115526,2023-01-28,Carlos Souza,9
CLI-00865,Cliente 865,00.100.008/0001-00,Papaya,BPO Financeiro,N/A,Lucro Presumido,7975,2545616,2023-06-21,Ana Silva,5
CLI-00866,Cliente 866,00.100.008/0001-00,Papaya,BPO Financeiro,Legalização,N/A,923,6752276,2024-02-15,Ana Silva,7
CLI-00867,Cliente 867,00.100.008/0001-00,Mdias,BPO RH,N/A,MEI,6299,3341642,2022-08-25,Ana Silva,1
CLI-00868,Cliente 868,00.100.008/0001-00,Zov,BPO Financeiro,Certificado Digital,N/A,2640,7020202,2022-01-23,Carlos Souza,1
CLI-00869,Cliente 869,00.100.008/0001-00,Mdias,BPO RH,N/A,N/A,3492,7933919,2022-12-11,João Silva,3
CLI-00870,Cliente 870,00.100.008/0001-00,Mdias,Certificado Digital,N/A,Lucro Real,8193,5724036,2023-11-13,Maria Santos,5
CLI-00871,Cliente 871,00.100.008/0001-00,Mdias,BPO Financeiro,Contabilidade,MEI,4453,1852225,2023-07-20,Maria Santos,10
CLI-00872,Cliente 872,00.100.008/0001-00,Mdias,BPO RH,N/A,N/A,3086,4879795,2024-04-13,Ana Silva,8
CLI-00873,Cliente 873,00.100.008/0001-00,Papaya,Contabilidade,N/A,MEI,4647,3635505,2024-05-23,Ana Silva,6
CLI-00874,Cliente 874,00.100.008/0001-00,Zov,Contabilidade,N/A,Simples Nacional,2924,7218709,2023-08-20,João Silva,4
CLI-00875,Cliente 875,00.100.008/0001-00,Papaya,BPO Financeiro,N/A,Lucro Presumido,5040,1369291,2023-03-17,João Silva,3
CLI-00876,Cliente 876,00.100.008/0001-00,Papaya,Certificado Digital,Legalização,Simples Nacional,4273,6759928,2024-07-07,Maria Santos,3
CLI-00877,Cliente 877,00.100.008/0001-00,Zov,Certificado Digital,N/A,Simples Nacional,4707,1302173,2023-09-23,João Silva,5
CLI-00878,Cliente 878,00.100.008/0001-00,Zov,BPO RH,N/A,Simples Nacional,1384,1972450,2022-04-07,João Silva,2
CLI-00879,Cliente 879,00.100.008/0001-00,Mdias,BPO RH,N/A,MEI,2469,6322424,2023-06-22,João Silva,6
CLI-00880,Cliente 880,00.100.008/0001-00,Papaya,Legalização,N/A,Lucro Presumido,2121,5509560,2023-04-01,Maria Santos,4
CLI-00881,Cliente 881,00.100.008/0001-00,Zov,BPO Financeiro,N/A,Lucro Real,2764,797398,2023-08-07,João Silva,7
CLI-00882,Cliente 882,00.100.008/0001-00,Zov,BPO Financeiro,N/A,Lucro Real,8081,759815,2023-08-09,Maria Santos,7
CLI-00883,Cliente 883,00.100.008/0001-00,Zov,Legalização,N/A,N/A,7949,1060454,2022-05-26,João Silva,5
CLI-00884,Cliente 884,00.100.008/0001-00,Zov,BPO Financeiro,Contabilidade,N/A,1347,3454585,2023-06-18,João Silva,8
CLI-00885,Cliente 885,00.100.008/0001-00,Papaya,BPO Financeiro,Contabilidade,Lucro Presumido,5422,4365008,2022-01-19,Ana Silva,4
CLI-00886,Cliente 886,00.100.008/0001-00,Mdias,Contabilidade,N/A,Lucro Real,2623,6670906,2023-01-14,Maria Santos,8
CLI-00887,Cliente 887,00.100.008/0001-00,Papaya,BPO Financeiro,N/A,Simples Nacional,2814,6973790,2022-05-17,Ana Silva,8
CLI-00888,Cliente 888,00.100.008/0001-00,Zov,BPO Financeiro,N/A,MEI,7956,7928392,2022-09-05,Carlos Souza,10
CLI-00889,Cliente 889,00.100.008/0001-00,Papaya,BPO Financeiro,N/A,N/A,8399,6741212,2024-05-10,João Silva,7
CLI-00890,Cliente 890,00.100.008/0001-00,Papaya,BPO Financeiro,N/A,Lucro Presumido,1590,2252133,2024-12-12,João Silva,0
CLI-00891,Cliente 891,00.100.008/0001-00,Mdias,Legalização,Certificado Digital,Lucro Presumido,2650,1491533,2024-12-02,Ana Silva,8
CLI-00892,Cliente 892,00.100.008/0001-00,Mdias,Certificado Digital,N/A,Simples Nacional,6787,4066139,2024-11-05,Ana Silva,1
CLI-00893,Cliente 893,00.100.008/0001-00,Mdias,Contabilidade,N/A,Lucro Real,5333,5974360,2022-01-21,Ana Silva,8
CLI-00894,Cliente 894,00.100.008/0001-00,Mdias,Legalização,N/A,Lucro Real,8315,4021708,2023-06-12,Ana Silva,9
CLI-00895,Cliente 895,00.100.008/0001-00,Zov,BPO Financeiro,BPO RH,Lucro Presumido,9205,1553569,2023-10-28,Carlos Souza,8
CLI-00896,Cliente 896,00.100.008/0001-00,Mdias,Contabilidade,BPO RH,Simples Nacional,1383,1373196,2022-03-09,Maria Santos,1
CLI-00897,Cliente 897,00.100.008/0001-00,Zov,BPO RH,N/A,Lucro Presumido,6287,7290878,2023-08-05,Maria Santos,4
CLI-00898,Cliente 898,00.100.008/0001-00,Papaya,Certificado Digital,BPO RH,Lucro Real,8055,5047490,2023-10-12,Maria Santos,2
CLI-00899,Cliente 899,00.100.008/0001-00,Zov,Certificado Digital,N/A,N/A,5381,2834161,2024-04-20,Ana Silva,5
CLI-00900,Cliente 900,00.100.009/0001-00,Mdias,Contabilidade,BPO RH,N/A,4576,5737831,2023-03-12,Maria Santos,2
CLI-00901,Cliente 901,00.100.009/0001-00,Mdias,BPO RH,BPO Financeiro,Lucro Presumido,7932,5409947,2022-04-27,João Silva,1
CLI-00902,Cliente 902,00.100.009/0001-00,Zov,BPO Financeiro,N/A,Lucro Real,678,1229741,2022-03-21,João Silva,0
CLI-00903,Cliente 903,00.100.009/0001-00,Mdias,Legalização,N/A,N/A,4870,1303544,2024-09-07,Maria Santos,6
CLI-00904,Cliente 904,00.100.009/0001-00,Mdias,BPO RH,N/A,Lucro Real,8032,3983282,2022-04-15,Carlos Souza,7
CLI-00905,Cliente 905,00.100.009/0001-00,Papaya,BPO Financeiro,N/A,MEI,5820,2415530,2024-02-18,João Silva,3
CLI-00906,Cliente 906,00.100.009/0001-00,Papaya,BPO RH,N/A,Lucro Real,2770,663042,2023-06-25,João Silva,5
CLI-00907,Cliente 907,00.100.009/0001-00,Mdias,BPO Financeiro,N/A,Lucro Presumido,8557,388391,2024-04-06,Maria Santos,3
CLI-00908,Cliente 908,00.100.009/0001-00,Mdias,BPO RH,N/A,Simples Nacional,2300,4486316,2022-09-13,Ana Silva,4
CLI-00909,Cliente 909,00.100.009/0001-00,Zov,Legalização,Contabilidade,Simples Nacional,9321,6478611,2023-06-16,João Silva,2
CLI-00910,Cliente 910,00.100.009/0001-00,Mdias,Legalização,N/A,Lucro Real,958,1390239,2022-04-27,Ana Silva,4
CLI-00911,Cliente 911,00.100.009/0001-00,Mdias,Certificado Digital,Legalização,N/A,8221,5463696,2023-11-05,Ana Silva,4
CLI-00912,Cliente 912,00.100.009/0001-00,Zov,BPO RH,N/A,Lucro Real,5336,2852230,2022-07-14,Carlos Souza,7
CLI-00913,Cliente 913,00.100.009/0001-00,Papaya,BPO RH,BPO Financeiro,Lucro Presumido,1912,3075278,2024-01-23,Maria Santos,8
CLI-00914,Cliente 914,00.100.009/0001-00,Zov,Contabilidade,BPO RH,N/A,3627,1328548,2023-07-19,Ana Silva,3
CLI-00915,Cliente 915,00.100.009/0001-00,Papaya,BPO Financeiro,N/A,N/A,1643,2661368,2023-08-15,Maria Santos,6
CLI-00916,Cliente 916,00.100.009/0001-00,Papaya,Certificado Digital,N/A,MEI,7837,6386466,2022-12-02,João Silva,9
CLI-00917,Cliente 917,00.100.009/0001-00,Papaya,Legalização,N/A,Lucro Real,3813,1570925,2024-10-14,João Silva,4
CLI-00918,Cliente 918,00.100.009/0001-00,Mdias,Certificado Digital,N/A,Lucro Presumido,7428,1670058,2024-05-17,Ana Silva,7
CLI-00919,Cliente 919,00.100.009/0001-00,Mdias,Legalização,BPO RH,Simples Nacional,4976,3869590,2024-12-25,Ana Silva,9
CLI-00920,Cliente 920,00.100.009/0001-00,Mdias,BPO RH,Legalização,MEI,8873,4612836,2024-12-08,Carlos Souza,10
CLI-00921,Cliente 921,00.100.009/0001-00,Zov,BPO RH,N/A,N/A,6715,6539699,2024-09-01,Maria Santos,2
CLI-00922,Cliente 922,00.100.009/0001-00,Zov,Certificado Digital,N/A,N/A,473,3106822,2022-02-08,Ana Silva,2
CLI-00923,Cliente 923,00.100.009/0001-00,Papaya,Legalização,Certificado Digital,Simples Nacional,2503,1237712,2023-11-18,Maria Santos,0
CLI-00924,Cliente 924,00.100.009/0001-00,Mdias,Legalização,N/A,Lucro Presumido,8494,4898350,2023-02-08,João Silva,7
CLI-00925,Cliente 925,00.100.009/0001-00,Papaya,BPO RH,N/A,Lucro Real,4980,1079811,2024-06-07,Carlos Souza,6
CLI-00926,Cliente 926,00.100.009/0001-00,Papaya,Contabilidade,Legalização,Simples Nacional,4339,3703220,2022-05-13,Ana Silva,5
CLI-00927,Cliente 927,00.100.009/0001-00,Zov,Certificado Digital,Contabilidade,MEI,7861,982381,2024-01-14,Ana Silva,4
CLI-00928,Cliente 928,00.100.009/0001-00,Papaya,BPO RH,N/A,MEI,2770,136951,2022-04-19,João Silva,9
CLI-00929,Cliente 929,00.100.009/0001-00,Papaya,Certificado Digital,N/A,MEI,1915,4326166,2023-11-17,Maria Santos,1
CLI-00930,Cliente 930,00.100.009/0001-00,Mdias,Contabilidade,Legalização,MEI,1493,7161867,2023-03-05,Carlos Souza,9
CLI-00931,Cliente 931,00.100.009/0001-00,Zov,BPO Financeiro,N/A,Lucro Presumido,6775,5768143,2023-08-17,João Silva,2
CLI-00932,Cliente 932,00.100.009/0001-00,Papaya,BPO RH,N/A,N/A,3036,7305865,2023-07-10,Carlos Souza,3
CLI-00933,Cliente 933,00.100.009/0001-00,Mdias,Contabilidade,N/A,MEI,8535,2577742,2024-04-14,Ana Silva,9
CLI-00934,Cliente 934,00.100.009/0001-00,Mdias,Legalização,N/A,Lucro Presumido,5036,5741017,2023-02-25,Carlos Souza,1
CLI-00935,Cliente 935,00.100.009/0001-00,Mdias,Contabilidade,N/A,Lucro Presumido,541,3510054,2024-08-19,Ana Silva,6
CLI-00936,Cliente 936,00.100.009/0001-00,Mdias,Certificado Digital,N/A,N/A,687,3647409,2023-06-04,Maria Santos,1
CLI-00937,Cliente 937,00.100.009/0001-00,Mdias,Legalização,Contabilidade,N/A,1368,5416535,2022-03-02,Maria Santos,3
CLI-00938,Cliente 938,00.100.009/0001-00,Mdias,BPO RH,BPO Financeiro,Simples Nacional,4097,4771496,2023-10-04,João Silva,8
CLI-00939,Cliente 939,00.100.009/0001-00,Mdias,Contabilidade,BPO Financeiro,Simples Nacional,9294,5480667,2023-07-10,Maria Santos,4
CLI-00940,Cliente 940,00.100.009/0001-00,Zov,Certificado Digital,BPO RH,Lucro Real,7821,1067828,2023-03-25,Carlos Souza,5
CLI-00941,Cliente 941,00.100.009/0001-00,Papaya,BPO Financeiro,N/A,MEI,5392,6870118,2024-06-09,Ana Silva,5
CLI-00942,Cliente 942,00.100.009/0001-00,Mdias,Legalização,N/A,N/A,956,7545983,2024-12-13,Ana Silva,4
CLI-00943,Cliente 943,00.100.009/0001-00,Zov,Certificado Digital,N/A,N/A,8050,5802743,2023-01-11,Ana Silva,1
CLI-00944,Cliente 944,00.100.009/0001-00,Mdias,Legalização,N/A,N/A,7392,4724794,2023-05-24,Ana Silva,3
CLI-00945,Cliente 945,00.100.009/0001-00,Papaya,BPO RH,N/A,MEI,6540,2015812,2023-07-20,João Silva,1
CLI-00946,Cliente 946,00.100.009/0001-00,Papaya,Certificado Digital,BPO Financeiro,N/A,7722,4639246,2024-11-04,João Silva,1
CLI-00947,Cliente 947,00.100.009/0001-00,Mdias,Contabilidade,N/A,Lucro Real,9399,6913144,2024-12-02,Carlos Souza,9
CLI-00948,Cliente 948,00.100.009/0001-00,Zov,Certificado Digital,N/A,Lucro Presumido,3154,7723017,2024-02-08,João Silva,6
CLI-00949,Cliente 949,00.100.009/0001-00,Zov,Contabilidade,BPO Financeiro,Simples Nacional,6118,1749442,2024-08-27,Maria Santos,1
CLI-00950,Cliente 950,00.100.009/0001-00,Mdias,Certificado Digital,BPO RH,Simples Nacional,1892,6691284,2022-12-23,Ana Silva,4
CLI-00951,Cliente 951,00.100.009/0001-00,Papaya,Legalização,N/A,MEI,1188,1116138,2022-05-18,Ana Silva,6
CLI-00952,Cliente 952,00.100.009/0001-00,Mdias,Contabilidade,BPO RH,N/A,553,1333013,2023-09-10,Maria Santos,6
CLI-00953,Cliente 953,00.100.009/0001-00,Mdias,Certificado Digital,N/A,MEI,4405,5963651,2022-07-20,João Silva,0
CLI-00954,Cliente 954,00.100.009/0001-00,Zov,Contabilidade,N/A,Lucro Presumido,2946,7768659,2022-07-16,João Silva,6
CLI-00955,Cliente 955,00.100.009/0001-00,Zov,BPO RH,N/A,Lucro Real,9203,5154610,2023-10-20,Maria Santos,8
CLI-00956,Cliente 956,00.100.009/0001-00,Papaya,Contabilidade,BPO Financeiro,Simples Nacional,8606,1278101,2022-10-21,Ana Silva,5
CLI-00957,Cliente 957,00.100.009/0001-00,Zov,Contabilidade,N/A,N/A,3586,6045209,2023-07-05,Carlos Souza,2
CLI-00958,Cliente 958,00.100.009/0001-00,Papaya,Legalização,N/A,Lucro Presumido,7279,449851,2024-05-27,Maria Santos,2
CLI-00959,Cliente 959,00.100.009/0001-00,Mdias,BPO RH,Contabilidade,N/A,3629,2803118,2024-04-28,Ana Silva,2
CLI-00960,Cliente 960,00.100.009/0001-00,Zov,Certificado Digital,N/A,Lucro Real,6576,3921744,2023-01-19,Maria Santos,7
CLI-00961,Cliente 961,00.100.009/0001-00,Papaya,Certificado Digital,Legalização,N/A,5138,4262268,2023-05-11,Ana Silva,2
CLI-00962,Cliente 962,00.100.009/0001-00,Mdias,Contabilidade,N/A,Lucro Presumido,8053,6020904,2023-03-25,Carlos Souza,10
CLI-00963,Cliente 963,00.100.009/0001-00,Mdias,Contabilidade,BPO RH,MEI,6365,6685035,2022-02-15,Maria Santos,4
CLI-00964,Cliente 964,00.100.009/0001-00,Mdias,Certificado Digital,BPO Financeiro,MEI,3389,2646067,2024-01-19,Maria Santos,9
CLI-00965,Cliente 965,00.100.009/0001-00,Zov,Contabilidade,N/A,MEI,836,1170057,2024-02-22,Maria Santos,9
CLI-00966,Cliente 966,00.100.009/0001-00,Zov,BPO Financeiro,Certificado Digital,N/A,8092,7110541,2023-10-11,Ana Silva,9
CLI-00967,Cliente 967,00.100.009/0001-00,Zov,BPO RH,N/A,Lucro Presumido,4881,2761035,2024-09-11,Maria Santos,7
CLI-00968,Cliente 968,00.100.009/0001-00,Mdias,Certificado Digital,N/A,Lucro Real,3223,6703175,2023-08-15,Ana Silva,3
CLI-00969,Cliente 969,00.100.009/0001-00,Zov,BPO RH,N/A,Lucro Real,5112,6240968,2022-11-28,Maria Santos,5
CLI-00970,Cliente 970,00.100.009/0001-00,Papaya,Certificado Digital,N/A,N/A,3040,7975136,2024-05-07,Ana Silva,9
CLI-00971,Cliente 971,00.100.009/0001-00,Mdias,BPO RH,BPO Financeiro,Lucro Real,4118,2244465,2023-06-26,Carlos Souza,7
CLI-00972,Cliente 972,00.100.009/0001-00,Papaya,Certificado Digital,Contabilidade,N/A,3468,7988149,2023-06-18,João Silva,4
CLI-00973,Cliente 973,00.100.009/0001-00,Papaya,Certificado Digital,BPO RH,Simples Nacional,6276,4358690,2024-06-17,Ana Silva,1
CLI-00974,Cliente 974,00.100.009/0001-00,Mdias,Legalização,N/A,MEI,8082,5269414,2022-01-25,Carlos Souza,3
CLI-00975,Cliente 975,00.100.009/0001-00,Mdias,Contabilidade,Legalização,N/A,5430,338253,2022-07-16,Maria Santos,1
CLI-00976,Cliente 976,00.100.009/0001-00,Zov,Legalização,N/A,N/A,7668,6659662,2022-07-20,Ana Silva,6
CLI-00977,Cliente 977,00.100.009/0001-00,Zov,BPO RH,N/A,Lucro Presumido,5673,559996,2022-01-16,Maria Santos,3
CLI-00978,Cliente 978,00.100.009/0001-00,Mdias,Legalização,BPO RH,Simples Nacional,9147,6207090,2022-03-01,Ana Silva,2
CLI-00979,Cliente 979,00.100.009/0001-00,Mdias,Legalização,N/A,Simples Nacional,6554,7200363,2022-02-21,Ana Silva,3
CLI-00980,Cliente 980,00.100.009/0001-00,Zov,Certificado Digital,Legalização,Simples Nacional,8961,2460525,2024-05-13,Carlos Souza,7
CLI-00981,Cliente 981,00.100.009/0001-00,Zov,Certificado Digital,N/A,Simples Nacional,5729,3439621,2022-07-19,João Silva,1
CLI-00982,Cliente 982,00.100.009/0001-00,Zov,Legalização,Contabilidade,N/A,5480,7516916,2022-12-27,Carlos Souza,5
CLI-00983,Cliente 983,00.100.009/0001-00,Mdias,Contabilidade,N/A,N/A,5520,7100252,2023-02-24,Ana Silva,2
CLI-00984,Cliente 984,00.100.009/0001-00,Mdias,BPO Financeiro,Legalização,N/A,5738,2088035,2023-12-28,Ana Silva,3
CLI-00985,Cliente 985,00.100.009/0001-00,Papaya,BPO Financeiro,N/A,N/A,1073,1890539,2023-03-25,Carlos Souza,3
CLI-00986,Cliente 986,00.100.009/0001-00,Zov,BPO Financeiro,N/A,Simples Nacional,8172,2778988,2022-09-05,Carlos Souza,1
CLI-00987,Cliente 987,00.100.009/0001-00,Papaya,Contabilidade,Certificado Digital,N/A,5809,5167633,2024-04-08,Maria Santos,3
CLI-00988,Cliente 988,00.100.009/0001-00,Zov,BPO Financeiro,N/A,Lucro Real,2296,1887015,2022-05-18,Carlos Souza,8
CLI-00989,Cliente 989,00.100.009/0001-00,Zov,BPO Financeiro,N/A,MEI,2532,5856412,2022-12-24,Carlos Souza,3
CLI-00990,Cliente 990,00.100.009/0001-00,Zov,Contabilidade,N/A,Lucro Presumido,1349,4112886,2023-05-07,Carlos Souza,7
CLI-00991,Cliente 991,00.100.009/0001-00,Papaya,Legalização,N/A,N/A,5072,7264740,2024-10-11,João Silva,4
CLI-00992,Cliente 992,00.100.009/0001-00,Papaya,BPO RH,Legalização,Simples Nacional,2361,6944922,2024-04-26,Maria Santos,1
CLI-00993,Cliente 993,00.100.009/0001-00,Zov,Legalização,Contabilidade,Lucro Presumido,2786,954127,2022-03-18,João Silva,7
CLI-00994,Cliente 994,00.100.009/0001-00,Mdias,Legalização,N/A,MEI,4662,5296858,2022-03-21,João Silva,2
CLI-00995,Cliente 995,00.100.009/0001-00,Zov,BPO RH,BPO Financeiro,N/A,4723,5766012,2022-12-07,João Silva,4
CLI-00996,Cliente 996,00.100.009/0001-00,Zov,Legalização,N/A,N/A,1241,6084802,2023-04-09,Maria Santos,6
CLI-00997,Cliente 997,00.100.009/0001-00,Mdias,Certificado Digital,N/A,Lucro Presumido,4988,6969951,2023-07-03,Ana Silva,2
CLI-00998,Cliente 998,00.100.009/0001-00,Zov,BPO Financeiro,Legalização,Lucro Presumido,5934,3164701,2024-03-17,Carlos Souza,8
CLI-00999,Cliente 999,00.100.009/0001-00,Zov,Certificado Digital,N/A,N/A,3621,4430904,2024-02-03,João Silva,4
CLI-01000,Cliente 1000,00.100.010/0001-00,Papaya,Contabilidade,N/A,Lucro Real,5170,3477640,2023-12-01,Carlos Souza,5
CLI-01001,Cliente 1001,00.100.010/0001-00,Papaya,BPO Financeiro,N/A,Lucro Presumido,7810,6489821,2024-04-10,João Silva,4
CLI-01002,Cliente 1002,00.100.010/0001-00,Papaya,Legalização,N/A,Lucro Real,5944,7887814,2022-02-14,Maria Santos,2
CLI-01003,Cliente 1003,00.100.010/0001-00,Papaya,Certificado Digital,N/A,N/A,2197,3521142,2024-12-12,João Silva,4
CLI-01004,Cliente 1004,00.100.010/0001-00,Papaya,BPO RH,N/A,N/A,4079,2497657,2024-09-01,Ana Silva,5
CLI-01005,Cliente 1005,00.100.010/0001-00,Zov,Certificado Digital,N/A,N/A,7853,2505997,2024-02-15,Carlos Souza,6
CLI-01006,Cliente 1006,00.100.010/0001-00,Papaya,BPO RH,Legalização,Lucro Presumido,4894,5499398,2024-07-27,Maria Santos,1
CLI-01007,Cliente 1007,00.100.010/0001-00,Zov,BPO RH,Certificado Digital,Lucro Presumido,8411,4081094,2023-01-02,Maria Santos,3
CLI-01008,Cliente 1008,00.100.010/0001-00,Zov,Certificado Digital,Contabilidade,Lucro Real,807,2877724,2024-09-11,Maria Santos,4
CLI-01009,Cliente 1009,00.100.010/0001-00,Papaya,Contabilidade,N/A,Lucro Presumido,4628,7560615,2022-01-04,Ana Silva,5
CLI-01010,Cliente 1010,00.100.010/0001-00,Zov,Certificado Digital,N/A,N/A,3112,3885482,2023-03-18,Ana Silva,0
