data_captacao,nome,origem,status,vendedor_atribuido
2024-05-13,Lead 1012,Google Ads - Contabilidade PME,Qualificado,Carlos Souza
2024-07-24,Lead 1013,Evento - Workshop,Desqualificado,Ana Silva
2024-04-21,Lead 1014,Evento - Workshop,Qualificado,N/A
2024-09-21,Lead 1015,Evento - Workshop,Novo,N/A
2024-06-17,Lead 1016,Evento - Workshop,Desqualificado,Ana Silva
2024-11-25,Lead 1017,LinkedIn - BPO,Qualificado,Carlos Souza
2024-05-09,Lead 1018,Evento - Workshop,Novo,Ana Silva
2024-08-20,Lead 1019,Google Ads - Contabilidade PME,Convertido,Ana Silva
2024-09-26,Lead 1020,Instagram - Conteúdo,Desqualificado,Ana Silva
2024-10-14,Lead 1021,Instagram - Conteúdo,Em contato,Ana Silva
2024-11-24,Lead 1022,Instagram - Conteúdo,Convertido,Ana Silva
2024-08-03,Lead 1023,Google Ads - Contabilidade PME,Desqualificado,Ana Silva
2024-02-06,Lead 1024,Google Ads - Contabilidade PME,Convertido,Ana Silva
2024-07-05,Lead 1025,Google Ads - Contabilidade PME,Convertido,N/A
2024-02-18,Lead 1026,LinkedIn - BPO,Desqualificado,N/A
2024-06-12,Lead 1027,Orgânico - SEO,Em contato,Ana Silva
2024-07-27,Lead 1028,Google Ads - Contabilidade PME,Desqualificado,N/A
2024-04-09,Lead 1029,Orgânico - SEO,Qualificado,Carlos Souza
2024-02-07,Lead 1030,LinkedIn - BPO,Novo,N/A
2024-08-11,Lead 1031,Google Ads - Contabilidade PME,Novo,N/A
2024-08-01,Lead 1032,LinkedIn - BPO,Convertido,Ana Silva
2024-05-08,Lead 1033,LinkedIn - BPO,Qualificado,Carlos Souza
2024-12-05,Lead 1034,Evento - Workshop,Desqualificado,N/A
2024-12-14,Lead 1035,LinkedIn - BPO,Em contato,Carlos Souza
2024-06-28,Lead 1036,Instagram - Conteúdo,Novo,Carlos Souza
2024-08-20,Lead 1037,Google Ads - Contabilidade PME,Em contato,Carlos Souza
2024-06-16,Lead 1038,Orgânico - SEO,Novo,Carlos Souza
2024-08-26,Lead 1039,Evento - Workshop,Novo,N/A
2024-05-18,Lead 1040,LinkedIn - BPO,Convertido,N/A
2024-10-24,Lead 1041,LinkedIn - BPO,Novo,Carlos Souza
2024-08-27,Lead 1042,Evento - Workshop,Desqualificado,Carlos Souza
2024-01-18,Lead 1043,LinkedIn - BPO,Qualificado,Ana Silva
2024-10-24,Lead 1044,Google Ads - Contabilidade PME,Qualificado,N/A
2024-08-23,Lead 1045,Google Ads - Contabilidade PME,Em contato,Carlos Souza
2024-12-16,Lead 1046,Orgânico - SEO,Convertido,Carlos Souza
2024-11-08,Lead 1047,Evento - Workshop,Em contato,Carlos Souza
2024-10-13,Lead 1048,Orgânico - SEO,Novo,Carlos Souza
2024-05-08,Lead 1049,Google Ads - Contabilidade PME,Convertido,Carlos Souza
2024-08-06,Lead 1050,LinkedIn - BPO,Qualificado,N/A
2024-07-12,Lead 1051,Orgânico - SEO,Desqualificado,Ana Silva
2024-02-05,Lead 1052,LinkedIn - BPO,Qualificado,Carlos Souza
2024-08-19,Lead 1053,Instagram - Conteúdo,Em contato,Carlos Souza
2024-12-18,Lead 1054,Orgânico - SEO,Em contato,N/A
2024-08-16,Lead 1055,Orgânico - SEO,Convertido,Ana Silva
2024-08-09,Lead 1056,LinkedIn - BPO,Em contato,Carlos Souza
2024-08-03,Lead 1057,Orgânico - SEO,Qualificado,N/A
2024-02-06,Lead 1058,Instagram - Conteúdo,Novo,N/A
2024-07-07,Lead 1059,Google Ads - Contabilidade PME,Desqualificado,Ana Silva
2024-05-11,Lead 1060,Google Ads - Contabilidade PME,Em contato,Ana Silva
2024-10-14,Lead 1061,Evento - Workshop,Novo,Carlos Souza
2024-09-07,Lead 1062,Orgânico - SEO,Qualificado,N/A
2024-10-24,Lead 1063,Google Ads - Contabilidade PME,Convertido,N/A
2024-06-13,Lead 1064,Evento - Workshop,Qualificado,Ana Silva
2024-12-28,Lead 1065,LinkedIn - BPO,Convertido,Carlos Souza
2024-06-08,Lead 1066,Evento - Workshop,Em contato,Carlos Souza
2024-09-16,Lead 1067,LinkedIn - BPO,Desqualificado,Ana Silva
2024-02-19,Lead 1068,LinkedIn - BPO,Convertido,Ana Silva
2024-12-20,Lead 1069,LinkedIn - BPO,Desqualificado,Ana Silva
2024-12-24,Lead 1070,Orgânico - SEO,Convertido,Carlos Souza
2024-04-20,Lead 1071,Orgânico - SEO,Qualificado,N/A
2024-05-23,Lead 1072,Google Ads - Contabilidade PME,Convertido,N/A
2024-02-12,Lead 1073,Orgânico - SEO,Qualificado,N/A
2024-10-03,Lead 1074,Orgânico - SEO,Novo,Carlos Souza
2024-08-06,Lead 1075,LinkedIn - BPO,Desqualificado,Ana Silva
2024-12-17,Lead 1076,Google Ads - Contabilidade PME,Convertido,Ana Silva
2024-03-14,Lead 1077,Google Ads - Contabilidade PME,Convertido,Ana Silva
2024-11-04,Lead 1078,Evento - Workshop,Desqualificado,Ana Silva
2024-07-15,Lead 1079,Evento - Workshop,Desqualificado,Carlos Souza
2024-09-22,Lead 1080,Evento - Workshop,Desqualificado,Carlos Souza
2024-10-14,Lead 1081,LinkedIn - BPO,Qualificado,N/A
2024-11-08,Lead 1082,Google Ads - Contabilidade PME,Convertido,Ana Silva
2024-12-15,Lead 1083,LinkedIn - BPO,Qualificado,N/A
2024-04-20,Lead 1084,Evento - Workshop,Convertido,Carlos Souza
2024-07-03,Lead 1085,Google Ads - Contabilidade PME,Convertido,Ana Silva
2024-08-18,Lead 1086,Google Ads - Contabilidade PME,Desqualificado,Ana Silva
2024-04-11,Lead 1087,Evento - Workshop,Novo,N/A
2024-09-22,Lead 1088,Instagram - Conteúdo,Desqualificado,N/A
2024-06-26,Lead 1089,Evento - Workshop,Desqualificado,Ana Silva
2024-12-10,Lead 1090,LinkedIn - BPO,Novo,N/A
2024-06-26,Lead 1091,Evento - Workshop,Em contato,N/A
2024-04-21,Lead 1092,Google Ads - Contabilidade PME,Convertido,Carlos Souza
2024-04-06,Lead 1093,Google Ads - Contabilidade PME,Desqualificado,Carlos Souza
2024-04-13,Lead 1094,Instagram - Conteúdo,Em contato,Carlos Souza
2024-09-12,Lead 1095,Instagram - Conteúdo,Em contato,N/A
2024-07-27,Lead 1096,Evento - Workshop,Novo,N/A
2024-10-28,Lead 1097,Evento - Workshop,Em contato,Ana Silva
2024-06-28,Lead 1098,Google Ads - Contabilidade PME,Em contato,Carlos Souza
2024-09-04,Lead 1099,LinkedIn - BPO,Qualificado,Ana Silva
2024-02-27,Lead 1100,LinkedIn - BPO,Desqualificado,Carlos Souza
2024-05-16,Lead 1101,Evento - Workshop,Novo,Carlos Souza
2024-12-13,Lead 1102,Instagram - Conteúdo,Qualificado,Ana Silva
2024-09-21,Lead 1103,Evento - Workshop,Qualificado,N/A
2024-09-08,Lead 1104,Orgânico - SEO,Em contato,Ana Silva
2024-02-16,Lead 1105,Orgânico - SEO,Em contato,Carlos Souza
2024-05-17,Lead 1106,Evento - Workshop,Em contato,Ana Silva
2024-10-25,Lead 1107,Instagram - Conteúdo,Convertido,Ana Silva
2024-01-24,Lead 1108,Evento - Workshop,Novo,N/A
2024-11-16,Lead 1109,Evento - Workshop,Qualificado,N/A
2024-03-21,Lead 1110,Instagram - Conteúdo,Novo,Ana Silva
2024-01-04,Lead 1111,Orgânico - SEO,Desqualificado,N/A
2024-06-22,Lead 1112,Evento - Workshop,Qualificado,Carlos Souza
2024-06-07,Lead 1113,Evento - Workshop,Desqualificado,Carlos Souza
2024-07-07,Lead 1114,LinkedIn - BPO,Em contato,Ana Silva
2024-07-08,Lead 1115,LinkedIn - BPO,Em contato,Ana Silva
2024-06-06,Lead 1116,Evento - Workshop,Convertido,Carlos Souza
2024-04-18,Lead 1117,Evento - Workshop,Qualificado,Ana Silva
2024-11-16,Lead 1118,Google Ads - Contabilidade PME,Qualificado,Carlos Souza
2024-10-23,Lead 1119,Instagram - Conteúdo,Qualificado,N/A
2024-07-14,Lead 1120,Orgânico - SEO,Convertido,N/A
2024-09-13,Lead 1121,Evento - Workshop,Novo,Ana Silva
2024-08-20,Lead 1122,LinkedIn - BPO,Qualificado,Ana Silva
2024-02-17,Lead 1123,Instagram - Conteúdo,Desqualificado,N/A
2024-07-10,Lead 1124,Instagram - Conteúdo,Convertido,N/A
2024-01-10,Lead 1125,Instagram - Conteúdo,Em contato,Ana Silva
2024-07-03,Lead 1126,Instagram - Conteúdo,Convertido,N/A
2024-06-16,Lead 1127,Orgânico - SEO,Desqualificado,Carlos Souza
2024-03-01,Lead 1128,Instagram - Conteúdo,Novo,N/A
2024-12-24,Lead 1129,Evento - Workshop,Novo,Ana Silva
2024-05-02,Lead 1130,Orgânico - SEO,Qualificado,Carlos Souza
2024-05-23,Lead 1131,Instagram - Conteúdo,Em contato,Carlos Souza
2024-04-25,Lead 1132,LinkedIn - BPO,Desqualificado,Ana Silva
2024-08-21,Lead 1133,Evento - Workshop,Convertido,N/A
2024-01-08,Lead 1134,Instagram - Conteúdo,Desqualificado,N/A
2024-01-11,Lead 1135,Orgânico - SEO,Desqualificado,Carlos Souza
2024-09-09,Lead 1136,LinkedIn - BPO,Convertido,Ana Silva
2024-07-07,Lead 1137,Evento - Workshop,Convertido,N/A
2024-07-15,Lead 1138,LinkedIn - BPO,Desqualificado,Ana Silva
2024-07-12,Lead 1139,Instagram - Conteúdo,Em contato,Ana Silva
2024-12-17,Lead 1140,LinkedIn - BPO,Em contato,Ana Silva
2024-02-16,Lead 1141,LinkedIn - BPO,Convertido,Ana Silva
2024-06-03,Lead 1142,Instagram - Conteúdo,Novo,N/A
2024-05-22,Lead 1143,Evento - Workshop,Convertido,Carlos Souza
2024-11-24,Lead 1144,Evento - Workshop,Desqualificado,Carlos Souza
2024-01-14,Lead 1145,LinkedIn - BPO,Convertido,Carlos Souza
2024-07-15,Lead 1146,Orgânico - SEO,Qualificado,Carlos Souza
2024-02-07,Lead 1147,Google Ads - Contabilidade PME,Qualificado,N/A
2024-07-18,Lead 1148,Google Ads - Contabilidade PME,Novo,Carlos Souza
2024-05-21,Lead 1149,Google Ads - Contabilidade PME,Qualificado,Carlos Souza
2024-08-27,Lead 1150,Instagram - Conteúdo,Novo,Ana Silva
2024-05-20,Lead 1151,Google Ads - Contabilidade PME,Qualificado,Ana Silva
2024-11-24,Lead 1152,LinkedIn - BPO,Desqualificado,Ana Silva
2024-12-09,Lead 1153,Evento - Workshop,Novo,N/A
2024-04-05,Lead 1154,Orgânico - SEO,Qualificado,N/A
2024-01-08,Lead 1155,Orgânico - SEO,Em contato,N/A
2024-07-11,Lead 1156,Orgânico - SEO,Novo,N/A
2024-04-21,Lead 1157,Orgânico - SEO,Em contato,Carlos Souza
2024-05-25,Lead 1158,LinkedIn - BPO,Novo,Ana Silva
2024-08-23,Lead 1159,Evento - Workshop,Novo,N/A
2024-04-10,Lead 1160,Evento - Workshop,Novo,N/A
2024-01-11,Lead 1161,Evento - Workshop,Novo,N/A
2024-02-01,Lead 1162,Google Ads - Contabilidade PME,Novo,Carlos Souza
2024-02-18,Lead 1163,Instagram - Conteúdo,Desqualificado,N/A
2024-01-25,Lead 1164,Orgânico - SEO,Qualificado,Ana Silva
2024-03-05,Lead 1165,Google Ads - Contabilidade PME,Qualificado,N/A
2024-11-04,Lead 1166,Instagram - Conteúdo,Novo,N/A
2024-04-14,Lead 1167,LinkedIn - BPO,Desqualificado,Carlos Souza
2024-06-27,Lead 1168,Instagram - Conteúdo,Em contato,Carlos Souza
2024-01-06,Lead 1169,Google Ads - Contabilidade PME,Em contato,N/A
2024-09-02,Lead 1170,Orgânico - SEO,Desqualificado,Carlos Souza
2024-04-15,Lead 1171,LinkedIn - BPO,Qualificado,Ana Silva
2024-12-16,Lead 1172,Instagram - Conteúdo,Desqualificado,Ana Silva
2024-10-06,Lead 1173,LinkedIn - BPO,Novo,Ana Silva
2024-05-09,Lead 1174,LinkedIn - BPO,Em contato,Carlos Souza
2024-06-11,Lead 1175,Google Ads - Contabilidade PME,Novo,N/A
2024-03-10,Lead 1176,Evento - Workshop,Em contato,Ana Silva
2024-05-12,Lead 1177,LinkedIn - BPO,Qualificado,Carlos Souza
2024-02-06,Lead 1178,LinkedIn - BPO,Convertido,Ana Silva
2024-03-11,Lead 1179,Orgânico - SEO,Em contato,Carlos Souza
2024-03-10,Lead 1180,Orgânico - SEO,Qualificado,Carlos Souza
2024-09-12,Lead 1181,Orgânico - SEO,Convertido,Carlos Souza
2024-06-14,Lead 1182,Orgânico - SEO,Desqualificado,Ana Silva
2024-08-15,Lead 1183,Google Ads - Contabilidade PME,Desqualificado,Carlos Souza
2024-09-24,Lead 1184,Instagram - Conteúdo,Novo,Carlos Souza
2024-05-25,Lead 1185,Orgânico - SEO,Novo,N/A
2024-10-25,Lead 1186,Orgânico - SEO,Convertido,N/A
2024-02-23,Lead 1187,Google Ads - Contabilidade PME,Desqualificado,Carlos Souza
2024-10-20,Lead 1188,Orgânico - SEO,Qualificado,Ana Silva
2024-08-10,Lead 1189,Google Ads - Contabilidade PME,Desqualificado,Carlos Souza
2024-09-26,Lead 1190,Google Ads - Contabilidade PME,Em contato,N/A
2024-08-24,Lead 1191,LinkedIn - BPO,Desqualificado,Carlos Souza
2024-10-17,Lead 1192,LinkedIn - BPO,Qualificado,Carlos Souza
2024-12-20,Lead 1193,Instagram - Conteúdo,Desqualificado,Carlos Souza
2024-11-03,Lead 1194,Orgânico - SEO,Desqualificado,Ana Silva
2024-06-01,Lead 1195,Instagram - Conteúdo,Convertido,Carlos Souza
2024-08-19,Lead 1196,Evento - Workshop,Novo,N/A
2024-02-09,Lead 1197,LinkedIn - BPO,Em contato,Carlos Souza
2024-08-26,Lead 1198,Instagram - Conteúdo,Qualificado,Carlos Souza
2024-11-18,Lead 1199,LinkedIn - BPO,Novo,Ana Silva
2024-02-19,Lead 1200,LinkedIn - BPO,Novo,Ana Silva
2024-03-27,Lead 1201,Google Ads - Contabilidade PME,Qualificado,Carlos Souza
2024-01-20,Lead 1202,Evento - Workshop,Em contato,N/A
2024-01-23,Lead 1203,LinkedIn - BPO,Convertido,Carlos Souza
2024-06-12,Lead 1204,Google Ads - Contabilidade PME,Desqualificado,N/A
2024-05-03,Lead 1205,Instagram - Conteúdo,Convertido,Carlos Souza
2024-12-01,Lead 1206,Evento - Workshop,Qualificado,N/A
2024-08-27,Lead 1207,Instagram - Conteúdo,Desqualificado,Carlos Souza
2024-12-21,Lead 1208,Evento - Workshop,Desqualificado,Carlos Souza
2024-10-17,Lead 1209,Google Ads - Contabilidade PME,Em contato,Ana Silva
2024-03-03,Lead 1210,Instagram - Conteúdo,Novo,N/A
2024-06-02,Lead 1211,Instagram - Conteúdo,Em contato,Carlos Souza
2024-06-26,Lead 1212,LinkedIn - BPO,Desqualificado,Ana Silva
2024-11-04,Lead 1213,Google Ads - Contabilidade PME,Novo,Ana Silva
2024-10-19,Lead 1214,LinkedIn - BPO,Novo,N/A
2024-03-11,Lead 1215,Google Ads - Contabilidade PME,Convertido,N/A
2024-09-01,Lead 1216,Instagram - Conteúdo,Em contato,N/A
2024-03-06,Lead 1217,Instagram - Conteúdo,Em contato,N/A
2024-06-02,Lead 1218,Orgânico - SEO,Em contato,Ana Silva
2024-10-02,Lead 1219,Evento - Workshop,Novo,Carlos Souza
2024-12-05,Lead 1220,Instagram - Conteúdo,Novo,Ana Silva
2024-06-03,Lead 1221,Evento - Workshop,Qualificado,Carlos Souza
2024-03-23,Lead 1222,Orgânico - SEO,Convertido,Ana Silva
2024-08-17,Lead 1223,Evento - Workshop,Em contato,N/A
2024-05-16,Lead 1224,LinkedIn - BPO,Desqualificado,Carlos Souza
2024-09-06,Lead 1225,LinkedIn - BPO,Novo,Ana Silva
2024-09-04,Lead 1226,Orgânico - SEO,Convertido,Carlos Souza
2024-07-23,Lead 1227,LinkedIn - BPO,Em contato,N/A
2024-10-08,Lead 1228,Evento - Workshop,Novo,N/A
2024-01-05,Lead 1229,LinkedIn - BPO,Novo,N/A
2024-05-09,Lead 1230,LinkedIn - BPO,Qualificado,N/A
2024-05-28,Lead 1231,Orgânico - SEO,Desqualificado,N/A
2024-07-16,Lead 1232,Google Ads - Contabilidade PME,Novo,Ana Silva
2024-03-20,Lead 1233,Instagram - Conteúdo,Convertido,N/A
2024-12-02,Lead 1234,Orgânico - SEO,Convertido,Carlos Souza
2024-02-21,Lead 1235,Orgânico - SEO,Convertido,N/A
2024-11-17,Lead 1236,Orgânico - SEO,Novo,N/A
2024-11-27,Lead 1237,LinkedIn - BPO,Novo,Ana Silva
2024-07-09,Lead 1238,Instagram - Conteúdo,Qualificado,Carlos Souza
2024-04-19,Lead 1239,Google Ads - Contabilidade PME,Convertido,Ana Silva
2024-02-19,Lead 1240,Orgânico - SEO,Desqualificado,Ana Silva
2024-10-20,Lead 1241,Evento - Workshop,Desqualificado,Ana Silva
2024-02-20,Lead 1242,LinkedIn - BPO,Novo,Ana Silva
2024-06-03,Lead 1243,Orgânico - SEO,Qualificado,N/A
2024-05-11,Lead 1244,Orgânico - SEO,Desqualificado,N/A
2024-12-24,Lead 1245,Evento - Workshop,Qualificado,Carlos Souza
2024-09-27,Lead 1246,LinkedIn - BPO,Desqualificado,Ana Silva
2024-01-02,Lead 1247,Instagram - Conteúdo,Desqualificado,Ana Silva
2024-08-16,Lead 1248,Evento - Workshop,Desqualificado,Carlos Souza
2024-05-06,Lead 1249,Google Ads - Contabilidade PME,Desqualificado,Ana Silva
2024-02-08,Lead 1250,Orgânico - SEO,Em contato,Carlos Souza
2024-11-17,Lead 1251,LinkedIn - BPO,Convertido,N/A
2024-11-10,Lead 1252,Instagram - Conteúdo,Convertido,Carlos Souza
2024-06-24,Lead 1253,Evento - Workshop,Em contato,N/A
2024-04-16,Lead 1254,Evento - Workshop,Em contato,Carlos Souza
2024-04-27,Lead 1255,Google Ads - Contabilidade PME,Novo,Carlos Souza
2024-11-02,Lead 1256,Orgânico - SEO,Em contato,Carlos Souza
2024-11-15,Lead 1257,Orgânico - SEO,Convertido,Carlos Souza
2024-11-23,Lead 1258,Google Ads - Contabilidade PME,Convertido,Carlos Souza
2024-09-05,Lead 1259,LinkedIn - BPO,Convertido,Ana Silva
2024-11-03,Lead 1260,Evento - Workshop,Em contato,Carlos Souza
2024-01-06,Lead 1261,Instagram - Conteúdo,Qualificado,Carlos Souza
2024-11-03,Lead 1262,Evento - Workshop,Convertido,N/A
2024-08-12,Lead 1263,Orgânico - SEO,Em contato,Ana Silva
2024-08-11,Lead 1264,Instagram - Conteúdo,Novo,Carlos Souza
2024-04-13,Lead 1265,LinkedIn - BPO,Novo,Ana Silva
2024-10-28,Lead 1266,Google Ads - Contabilidade PME,Em contato,Ana Silva
2024-04-18,Lead 1267,LinkedIn - BPO,Convertido,Carlos Souza
2024-11-10,Lead 1268,Google Ads - Contabilidade PME,Qualificado,N/A
2024-01-14,Lead 1269,LinkedIn - BPO,Qualificado,N/A
2024-07-19,Lead 1270,Instagram - Conteúdo,Em contato,Carlos Souza
2024-02-24,Lead 1271,Orgânico - SEO,Convertido,Carlos Souza
2024-01-20,Lead 1272,Orgânico - SEO,Novo,N/A
2024-05-23,Lead 1273,LinkedIn - BPO,Qualificado,Ana Silva
2024-11-07,Lead 1274,LinkedIn - BPO,Convertido,N/A
2024-07-16,Lead 1275,Evento - Workshop,Convertido,N/A
2024-04-27,Lead 1276,Orgânico - SEO,Desqualificado,Carlos Souza
2024-10-03,Lead 1277,Evento - Workshop,Novo,N/A
2024-04-23,Lead 1278,LinkedIn - BPO,Novo,N/A
2024-05-27,Lead 1279,Google Ads - Contabilidade PME,Em contato,Ana Silva
2024-11-05,Lead 1280,Google Ads - Contabilidade PME,Convertido,Ana Silva
2024-10-15,Lead 1281,Instagram - Conteúdo,Qualificado,Carlos Souza
2024-01-06,Lead 1282,Orgânico - SEO,Novo,Carlos Souza
2024-09-01,Lead 1283,Google Ads - Contabilidade PME,Desqualificado,Ana Silva
2024-07-19,Lead 1284,LinkedIn - BPO,Qualificado,Ana Silva
2024-04-18,Lead 1285,Instagram - Conteúdo,Qualificado,Carlos Souza
2024-02-20,Lead 1286,Orgânico - SEO,Desqualificado,Carlos Souza
2024-03-04,Lead 1287,Evento - Workshop,Em contato,Carlos Souza
2024-07-01,Lead 1288,LinkedIn - BPO,Novo,N/A
2024-05-16,Lead 1289,Evento - Workshop,Novo,Ana Silva
2024-05-13,Lead 1290,LinkedIn - BPO,Convertido,Ana Silva
2024-02-21,Lead 1291,Google Ads - Contabilidade PME,Desqualificado,Carlos Souza
2024-01-23,Lead 1292,Google Ads - Contabilidade PME,Novo,Carlos Souza
2024-11-14,Lead 1293,Google Ads - Contabilidade PME,Desqualificado,N/A
2024-09-25,Lead 1294,Instagram - Conteúdo,Convertido,Ana Silva
2024-07-11,Lead 1295,Evento - Workshop,Qualificado,Ana Silva
2024-12-10,Lead 1296,Orgânico - SEO,Qualificado,Ana Silva
2024-04-01,Lead 1297,Orgânico - SEO,Qualificado,Carlos Souza
2024-12-17,Lead 1298,Google Ads - Contabilidade PME,Novo,N/A
2024-12-23,Lead 1299,Google Ads - Contabilidade PME,Qualificado,N/A
2024-04-23,Lead 1300,Evento - Workshop,Qualificado,N/A
2024-11-10,Lead 1301,Orgânico - SEO,Em contato,Carlos Souza
2024-12-02,Lead 1302,Instagram - Conteúdo,Convertido,Ana Silva
2024-10-25,Lead 1303,LinkedIn - BPO,Novo,Ana Silva
2024-07-17,Lead 1304,Orgânico - SEO,Desqualificado,Carlos Souza
2024-08-05,Lead 1305,LinkedIn - BPO,Qualificado,N/A
2024-11-18,Lead 1306,Google Ads - Contabilidade PME,Qualificado,Carlos Souza
2024-05-01,Lead 1307,LinkedIn - BPO,Em contato,N/A
2024-05-09,Lead 1308,Orgânico - SEO,Desqualificado,Ana Silva
2024-07-25,Lead 1309,Google Ads - Contabilidade PME,Em contato,N/A
2024-01-19,Lead 1310,Google Ads - Contabilidade PME,Novo,Carlos Souza
2024-05-03,Lead 1311,Evento - Workshop,Qualificado,Ana Silva
2024-11-05,Lead 1312,Google Ads - Contabilidade PME,Desqualificado,Carlos Souza
2024-12-17,Lead 1313,LinkedIn - BPO,Novo,Carlos Souza
2024-04-21,Lead 1314,Google Ads - Contabilidade PME,Convertido,Ana Silva
2024-01-23,Lead 1315,Orgânico - SEO,Novo,Carlos Souza
2024-01-12,Lead 1316,Orgânico - SEO,Desqualificado,Carlos Souza
2024-09-10,Lead 1317,Google Ads - Contabilidade PME,Qualificado,N/A
2024-08-06,Lead 1318,Instagram - Conteúdo,Em contato,Ana Silva
2024-06-09,Lead 1319,LinkedIn - BPO,Desqualificado,N/A
2024-03-15,Lead 1320,Evento - Workshop,Qualificado,N/A
2024-02-14,Lead 1321,Evento - Workshop,Qualificado,Carlos Souza
2024-08-28,Lead 1322,Instagram - Conteúdo,Em contato,Carlos Souza
2024-01-13,Lead 1323,Evento - Workshop,Convertido,Carlos Souza
2024-11-15,Lead 1324,LinkedIn - BPO,Em contato,Carlos Souza
2024-01-15,Lead 1325,Evento - Workshop,Desqualificado,N/A
2024-03-09,Lead 1326,Google Ads - Contabilidade PME,Em contato,Ana Silva
2024-04-28,Lead 1327,LinkedIn - BPO,Convertido,Carlos Souza
2024-04-08,Lead 1328,Evento - Workshop,Qualificado,Ana Silva
2024-03-28,Lead 1329,Instagram - Conteúdo,Qualificado,N/A
2024-08-02,Lead 1330,Google Ads - Contabilidade PME,Novo,Carlos Souza
2024-09-12,Lead 1331,Google Ads - Contabilidade PME,Novo,Ana Silva
2024-01-25,Lead 1332,Instagram - Conteúdo,Qualificado,Carlos Souza
2024-06-08,Lead 1333,Evento - Workshop,Convertido,Ana Silva
2024-09-26,Lead 1334,LinkedIn - BPO,Qualificado,Ana Silva
2024-09-12,Lead 1335,LinkedIn - BPO,Novo,N/A
2024-09-04,Lead 1336,Google Ads - Contabilidade PME,Novo,Ana Silva
2024-04-10,Lead 1337,Google Ads - Contabilidade PME,Qualificado,Ana Silva
2024-12-15,Lead 1338,Orgânico - SEO,Qualificado,Ana Silva
2024-03-13,Lead 1339,Orgânico - SEO,Desqualificado,Ana Silva
2024-06-11,Lead 1340,Google Ads - Contabilidade PME,Convertido,Ana Silva
2024-03-21,Lead 1341,Orgânico - SEO,Em contato,N/A
2024-07-23,Lead 1342,Orgânico - SEO,Qualificado,Ana Silva
2024-10-06,Lead 1343,Evento - Workshop,Novo,Carlos Souza
2024-11-11,Lead 1344,Evento - Workshop,Convertido,Carlos Souza
2024-05-16,Lead 1345,Orgânico - SEO,Desqualificado,Ana Silva
2024-12-28,Lead 1346,Evento - Workshop,Desqualificado,Ana Silva
2024-02-09,Lead 1347,Orgânico - SEO,Em contato,N/A
2024-08-21,Lead 1348,Evento - Workshop,Qualificado,Ana Silva
2024-06-01,Lead 1349,Orgânico - SEO,Qualificado,N/A
2024-07-11,Lead 1350,Google Ads - Contabilidade PME,Novo,Ana Silva
2024-02-27,Lead 1351,Evento - Workshop,Novo,Ana Silva
2024-11-16,Lead 1352,LinkedIn - BPO,Novo,Ana Silva
2024-11-20,Lead 1353,Instagram - Conteúdo,Em contato,Carlos Souza
2024-07-07,Lead 1354,Orgânico - SEO,Qualificado,Ana Silva
2024-08-22,Lead 1355,Google Ads - Contabilidade PME,Convertido,N/A
2024-10-15,Lead 1356,LinkedIn - BPO,Em contato,Ana Silva
2024-04-10,Lead 1357,Instagram - Conteúdo,Qualificado,Carlos Souza
2024-05-28,Lead 1358,Evento - Workshop,Em contato,N/A
2024-05-28,Lead 1359,Evento - Workshop,Qualificado,N/A
2024-01-19,Lead 1360,Orgânico - SEO,Novo,Ana Silva
2024-06-17,Lead 1361,Google Ads - Contabilidade PME,Em contato,Carlos Souza
2024-05-25,Lead 1362,Orgânico - SEO,Qualificado,Ana Silva
2024-11-12,Lead 1363,Orgânico - SEO,Em contato,Carlos Souza
2024-02-10,Lead 1364,Evento - Workshop,Novo,Carlos Souza
2024-11-01,Lead 1365,Instagram - Conteúdo,Novo,N/A
2024-02-04,Lead 1366,LinkedIn - BPO,Em contato,Ana Silva
2024-09-04,Lead 1367,Google Ads - Contabilidade PME,Em contato,Ana Silva
2024-02-06,Lead 1368,Instagram - Conteúdo,Qualificado,Carlos Souza
2024-03-05,Lead 1369,Google Ads - Contabilidade PME,Novo,Ana Silva
2024-08-06,Lead 1370,Instagram - Conteúdo,Desqualificado,Ana Silva
2024-06-05,Lead 1371,Instagram - Conteúdo,Convertido,N/A
2024-11-13,Lead 1372,Evento - Workshop,Em contato,Carlos Souza
2024-02-22,Lead 1373,Evento - Workshop,Desqualificado,N/A
2024-01-17,Lead 1374,Google Ads - Contabilidade PME,Novo,Carlos Souza
2024-02-16,Lead 1375,LinkedIn - BPO,Convertido,Ana Silva
2024-03-10,Lead 1376,Google Ads - Contabilidade PME,Em contato,Ana Silva
2024-05-12,Lead 1377,Evento - Workshop,Desqualificado,N/A
2024-03-08,Lead 1378,Google Ads - Contabilidade PME,Novo,Ana Silva
2024-06-20,Lead 1379,Google Ads - Contabilidade PME,Novo,N/A
2024-08-13,Lead 1380,Instagram - Conteúdo,Em contato,N/A
2024-07-18,Lead 1381,Orgânico - SEO,Convertido,Carlos Souza
2024-05-05,Lead 1382,Evento - Workshop,Em contato,Ana Silva
2024-09-16,Lead 1383,Instagram - Conteúdo,Desqualificado,Ana Silva
2024-01-11,Lead 1384,Instagram - Conteúdo,Novo,N/A
2024-03-28,Lead 1385,LinkedIn - BPO,Novo,Ana Silva
2024-08-16,Lead 1386,LinkedIn - BPO,Qualificado,Carlos Souza
2024-11-11,Lead 1387,Orgânico - SEO,Desqualificado,Ana Silva
